,0
1078,1
1079,0
1080,2
1081,0
1082,2
1083,0
1084,1
1085,1
1086,2
1087,1
1088,4
1089,5
1090,0
1091,0
1092,2
1093,1
1094,1
1095,2
1096,1
1097,4
1098,5
1099,0
1100,2
1101,1
1102,0
1103,0
1104,2
1105,1
1106,0
1107,2
1108,1
1109,4
1110,0
1111,1
1112,9
1113,1
1114,2
1115,0
1116,1
1117,3
1118,1
1119,2
1120,1
1121,3
1122,0
1123,1
1124,3
1125,1
1126,2
1127,2
1128,0
1129,2
1130,1
1131,2
1132,2
1133,1
1134,1
1135,1
1136,1
1137,2
1138,3
1139,0
1140,0
1141,1
1142,1
1143,3
1144,0
1145,2
1146,1
1147,0
1148,0
1149,0
1150,1
1151,0
1152,0
1153,0
1154,1
1155,0
1156,1
1157,1
1158,2
1159,0
1160,3
1161,1
1162,0
1163,0
1164,3
1165,0
1166,2
1167,3
1168,0
1169,0
1170,3
1171,8
1172,1
1173,2
1174,1
1175,0
1176,3
1177,2
1178,1
1179,3
1180,3
1181,1
1182,0
1183,2
1184,2
1185,2
1186,2
1187,0
1188,1
1189,1
1190,2
1191,3
1192,6
1193,1
1194,4
1195,3
1196,0
1197,1
1198,1
1199,0
1200,0
1201,1
1202,1
1203,2
1204,2
1205,0
1206,4
1207,1
1208,3
1209,3
1210,2
1211,4
1212,4
1213,4
1214,1
1215,2
1216,1
1217,3
1218,4
1219,0
1220,2
1221,2
1222,0
1223,1
1224,8
1225,3
1226,1
1227,3
1228,0
1229,2
1230,2
1231,0
1232,1
1233,0
1234,3
1235,0
1236,5
1237,4
1238,3
1239,0
1240,3
1241,3
1242,0
1243,2
1244,4
1245,2
1246,0
1247,1
1248,1
1249,4
1250,5
1251,1
1252,3
1253,4
1254,1
1255,1
1256,6
1257,2
1258,2
1259,0
1260,0
1261,2
1262,1
1263,1
1264,1
1265,2
1266,1
1267,3
1268,1
1269,0
1270,1
1271,0
1272,4
1273,3
1274,1
1275,0
1276,1
1277,2
1278,2
1279,0
1280,2
1281,0
1282,4
1283,1
1284,1
1285,2
1286,1
1287,3
1288,2
1289,2
1290,4
1291,2
1292,3
1293,1
1294,1
1295,0
1296,1
1297,0
1298,1
1299,4
1300,1
1301,2
1302,2
1303,4
1304,0
1305,1
1306,1
1307,1
1308,8
1309,2
1310,3
1311,3
1312,3
1313,1
1314,2
1315,1
1316,0
1317,0
1318,0
1319,0
1320,1
1321,0
1322,3
1323,8
1324,0
1325,1
1326,1
1327,2
1328,0
1329,1
1330,2
1331,2
1332,0
1333,0
1334,2
1335,2
1336,2
1337,1
1338,1
1339,1
1340,0
1341,0
1342,0
1343,1
1344,2
1345,0
1346,0
1347,0
1348,1
1349,1
1350,0
1351,2
1352,1
1353,1
1354,3
1355,1
1356,2
1357,0
1358,2
1359,0
1360,4
1361,0
1362,1
1363,0
1364,1
1365,2
1366,0
1367,1
1368,1
1369,1
1370,0
1371,1
1372,0
1373,1
1374,3
1375,2
1376,2
1377,2
1378,2
1379,1
1380,0
1381,2
1382,0
1383,0
1384,2
1385,3
1386,4
1387,3
1388,1
1389,5
1390,2
1391,1
1392,2
1393,0
1394,1
1395,2
1396,4
1397,2
1398,3
1399,0
1400,1
1401,2
1402,2
1403,3
1404,0
1405,2
1406,2
1407,4
1408,2
1409,2
1410,1
1411,1
1412,1
1413,0
1414,3
1415,1
1416,0
1417,1
1418,2
1419,2
1420,2
1421,1
1422,8
1423,2
1424,1
1425,5
1426,3
1427,2
1428,0
1429,0
1430,0
1431,4
1432,4
1433,3
1434,0
1435,1
1436,1
1437,2
1438,0
1439,2
1440,0
1441,3
1442,3
1443,1
1444,3
1445,3
1446,3
1447,1
1448,1
1449,1
1450,1
1451,2
1452,3
1453,0
1454,4
1455,4
1456,2
1457,0
1458,1
1459,2
1460,2
1461,8
1462,1
1463,3
1464,4
1465,0
1466,0
1467,1
1468,3
1469,0
1470,1
1471,4
1472,1
1473,2
1474,1
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,1
1485,1
1486,0
1487,1
1488,1
1489,0
1490,1
1491,0
1492,4
1493,0
1494,1
1495,0
1496,2
1497,1
1498,0
1499,0
1500,1
1501,1
1502,2
1503,2
1504,0
1505,3
1506,1
1507,3
1508,2
1509,3
